Date,Close (USD)
"Jul 07, 2025",107602.8
"Jul 06, 2025",109207.0
"Jul 05, 2025",108204.7
"Jul 04, 2025",107989.6
"Jul 03, 2025",109600.5
"Jul 02, 2025",108843.7
"Jul 01, 2025",105694.3
"Jun 30, 2025",107171.1
"Jun 29, 2025",108361.1
"Jun 28, 2025",107304.4
