sno,date,price
1,7/1/2025,105694.3
2,7/2/2025,108843.7
3,7/3/2025,109600.5
4,7/4/2025,107989.6
5,7/5/2025,108204.7
6,7/6/2025,108204.7
7,7/7/2025,107602.8
